label,num_nodes,poster_friend_cnt,poster_follower_cnt,avg_time,avg_friends,avg_followers,max_followers,max_friends,friends_25th_percentile,friends_75th_percentile,followers_25th_percentile,followers_75th_percentile,num_edges,ratio_users_w/out_followers,num_connected_components,number_of_OPs_followers_who_retweeted,percentage_of_OPs_followers_who_retweeted,avg_clustering,op_clustering,transitivity,nodeID_list
1,7,256,256,2652.5714285714284,1810.2857142857142,6217.142857142857,32768,8192,384.0,1536.0,384.0,4608.0,8,0.5714285714285714,5,0,0.0,0.0,0.0,0.0,"['449009614' '450210178' '499613745' '32115079' '182510449' '74719838'
 '833469625']"
1,14,1024,32768,6766.214285714285,1142.857142857143,3363.4285714285716,32768,4096,256.0,1792.0,160.0,2048.0,20,0.5714285714285714,9,13,0.000396728515625,0.1902056277056277,0.03787878787878788,0.35,"['44964265' '74667551' '220534513' '38389890' '815532582' '297987457'
 '219752505' '120079523' '49175889' '39815316' '60990510' '363777052'
 '57962536' '192260356']"
1,42,2048,16384,196869.2380952381,2592.0,2975.0476190476193,32768,8192,512.0,4096.0,320.0,2048.0,148,0.30952380952380953,15,26,0.0015869140625,0.4540595937172844,0.21588089330024815,0.3933601609657948,"['581851520' '224446874' '92379248' '798025774' '31907517' '152713317'
 '30160137' '130047747' '152928905' '58317023' '826829894' '254993545'
 '152501813' '564906134' '421499426' '48701061' '58381306' '58089535'
 '24330214' '152727684' '772327954' '124087500' '219838273' '58052129'
 '49314972' '49282563' '155308939' '152856397' '45822167' '152896428'
 '167823402' '154984456' '142431091' '298851735' '17212193']"
1,6,8192,4096,21901.666666666668,5525.333333333333,3948.0,16384,16384,1216.0,7168.0,352.0,3584.0,8,0.16666666666666666,3,4,0.0009765625,0.0,0.0,0.0,['152919391' '252043380' '603520270' '38078856' '836610297' '683344379']
1,26,4096,8192,109409.34615384616,2791.3846153846152,2538.153846153846,16384,16384,512.0,4096.0,512.0,2048.0,123,0.11538461538461539,4,19,0.0023193359375,0.44921410435226067,0.20679012345679013,0.46255506607929514,"['35137894' '38734514' '783320421' '208420170' '122285833' '216770850'
 '57483928' '3893322' '27891544' '223851688' '25447603' '326864011'
 '362983588' '578733077' '82513675' '257127841' '25922551' '31468787'
 '30868692' '195850709' '25373951' '833310311' '82269495' '60785632'
 '9684994']"
1,49,2048,8192,40418.32653061225,1469.3877551020407,1592.1632653061224,16384,8192,256.0,2048.0,256.0,2048.0,117,0.46938775510204084,25,23,0.0028076171875,0.1764605551424018,0.11498973305954825,0.32771535580524347,"['635684275' '9380849' '364184336' '580899604' '783320421' '82127835'
 '421461070' '241282404' '104267464' '833324007' '16011071' '298849131'
 '65393165' '152844598' '643203225' '166831807' '81379009' '83163276'
 '421479878' '32484016' '9023080' '32769592' '106030789' '58089618'
 '152671024' '223820807' '655654996' '543321' '501373319' '421547574'
 '98719074' '166129081' '233824383' '152581097' '223856615' '1768847'
 '138126991' '127621335' '73198614' '13139115' '833318872' '65483786'
 '152505616' '421509162' '559003289']"
1,31,1024,1024,324137.1935483871,5266.580645161291,5222.193548387097,16384,16384,1024.0,8192.0,1536.0,8192.0,43,0.3225806451612903,13,4,0.00390625,0.1051447477253929,0.18,0.2222222222222222,"['152713317' '60401540' '152727355' '152729781' '126511718' '152601321'
 '152577891' '152907155' '175158125' '172468278' '152576045' '152892859'
 '57649341' '73198614' '152688477' '30868692' '82512084' '49253401'
 '152938829' '421474668' '57646012']"
1,42,32768,65536,73103.28571428571,2741.3333333333335,3116.5714285714284,65536,32768,512.0,2048.0,256.0,1024.0,45,0.6428571428571429,34,30,0.000457763671875,0.038137984098486795,0.0017953321364452424,0.07692307692307693,"['9114069' '149552006' '421541205' '9591228' '51135495' '215656016'
 '82111051' '78748277' '53974807' '421499328' '212254795' '36863794'
 '48584051' '528372498' '115203436' '415901370' '125471017' '49399210'
 '421461504' '421474654' '104825226' '31906350' '84694556' '1768847'
 '162967744' '107507466' '152788868' '152725222' '364874036' '326322811'
 '10857787' '57645948' '482835971' '50703121' '214099695']"
1,6,16384,16384,24675.5,9045.333333333334,8362.666666666666,16384,16384,5120.0,14336.0,4096.0,14336.0,10,0.0,1,5,0.00030517578125,0.0,0.0,0.0,['298849891' '67478687' '152921875' '15028876' '57646012' '34426584']
1,68,2048,16384,25026.897058823528,2563.764705882353,2750.1176470588234,16384,16384,512.0,4096.0,448.0,2560.0,156,0.4264705882352941,34,42,0.0025634765625,0.30410972353066035,0.0625,0.24173027989821882,"['92513647' '84434059' '184789535' '45820524' '192270217' '26361984'
 '404587127' '634811592' '82413947' '160503324' '14606373' '130007536'
 '95236765' '17936635' '134953912' '166899230' '58492055' '144760055'
 '421509162' '700627551' '19285426' '14066551' '49778901' '49168559'
 '21762177' '299346439' '833862065' '215709172' '97137345' '421476912'
 '11586784' '28707496' '164448589' '95738967' '77236302' '120829860'
 '124087500' '103815017' '58052129' '54421345' '76562334' '35981835'
 '137689382' '17762914' '268158410' '152896063' '57770917' '59847544'
 '685547040' '152900140' '155877082' '24253636' '154804691' '84589948'
 '347203361' '14188103' '298851735' '17212193']"
